Ventas online (n§ polizas),grpsTV_brand,inver_real_radio ($),inver_real_prensa ($),grpsTV_competencia,precio_brand_promedio ($),SEM_clics (n£mero),Mkdirecto (envios),mailing_1 (envios),mailing_2 (envios),mailing_3 (envios),mailing_4 (envios)
"2,422",246,0,0,"1,523",495,"25,731",0,0,"8,001",0,0
"2,891",301,"68,189",0,"1,594",495,"29,047",0,0,"3,200",0,0
"3,122",241,"81,826",0,"1,471",495,"29,047",0,0,"1,280",0,0
"3,030",210,"84,554",0,"1,340",495,"29,047",0,0,512,0,0
"2,584",87,"85,099",0,"1,043",495,"29,047",0,0,205,0,0
"2,047",80,"84,654",0,597,500,"16,099",0,0,0,0,0
"3,223",119,"84,565",0,679,500,"16,099",0,0,0,0,0
"2,557",103,"84,547",0,420,500,"16,099",0,0,0,0,0
"1,246",41,"48,793",0,204,500,"16,099",0,0,0,0,0
941,16,"9,759",0,261,500,"13,024",0,0,0,0,0
"2,394",161,"1,952",0,878,500,"18,733",0,0,0,0,0
"3,183",281,0,0,"1,197",500,"22,530",0,0,0,0,0
"3,464",307,0,0,"1,168",500,"23,982","18,677",0,0,0,0
"3,230",301,0,0,"1,304",500,"24,523","7,471",0,0,0,0
"3,046",288,0,0,"1,343",500,"26,634","18,105",0,0,0,0
"3,390",274,0,0,"1,269",500,"28,464","7,242",0,0,0,0
"2,984",308,0,0,"1,235",500,"29,521","2,897",0,0,0,0
"2,932",242,0,0,"1,322",500,"28,100","1,159",0,0,0,0
"2,857",343,0,"10,915","2,170",500,"24,072",463,0,0,0,0
"2,815",360,"67,114","13,098","2,375",500,"25,164","15,261",0,0,0,0
"1,254",185,"63,681","13,534","1,840",500,"16,494","6,105",0,0,0,0
"2,568",208,"68,168","13,621","1,997",500,"24,354","2,442",0,0,0,0
"2,968",212,"42,993","9,636","2,134",527,"26,369","20,187",0,0,0,0
"2,909",180,"45,298","8,838","2,204",527,"29,296","8,075",0,0,0,0
"2,903",188,"44,924","8,679","1,685",527,"29,053","3,230",0,0,0,0
"2,857",199,"43,596","8,647","1,477",527,"24,586","1,292",0,0,0,0
"1,659",155,"29,486","8,641","1,354",527,"21,002",517,0,0,0,0
"2,467",179,"5,897","11,392","1,465",527,"24,701",207,0,0,0,0
"2,570",187,"1,179","11,942","1,495",527,"27,498","24,675",0,0,0,0
"2,618",211,0,"12,052","1,529",527,"26,025","15,744",0,0,0,0
"2,709",222,0,"12,074","1,664",527,"28,970","6,298",0,0,0,0
"2,823",228,0,"21,533","2,147",516,"28,576","2,519",0,0,0,0
"3,600",246,"15,905","23,424","2,362",516,"24,295","1,008",0,0,0,0
"3,405",236,"19,085","23,802","2,214",516,"26,165","17,904",0,0,0,0
"3,332",228,"22,901","23,878","2,214",516,"23,481","7,162",0,0,0,0
"2,675",221,"20,484","5,573","1,716",516,"23,883","20,421",0,0,0,0
"3,298",218,"4,097","1,912","2,177",516,"23,951","8,168",0,0,0,0
"3,011",235,819,"1,180","2,239",516,"22,719","3,267",0,0,0,0
"2,770",250,0,"1,034","2,178",516,"21,370","1,307",0,0,0,0
"2,574",224,0,"1,005","1,981",516,"21,806",523,0,0,0,0
"2,454",199,0,0,"1,928",516,"18,715",209,0,0,0,0
"1,768",140,0,0,"1,682",516,"15,739",0,0,0,0,0
"1,981",60,0,0,"1,547",516,"16,601",0,0,0,0,0
"2,433",119,0,0,"1,570",516,"18,189",0,0,0,0,0
"1,850",53,0,0,"1,439",516,"19,051",0,0,0,0,0
"1,830",21,0,0,"1,421",516,"18,606",0,0,0,0,0
"2,183",8,0,0,"1,159",516,"20,964","35,025",0,0,0,0
"2,153",3,0,0,"1,151",516,"20,727","14,010",0,0,0,0
"2,160",1,0,0,"1,141",490,"21,225","23,048",0,0,0,0
"2,435",88,0,0,"1,669",490,"21,941","9,219",0,0,0,0
"2,332",145,0,0,"2,457",490,"21,600","3,688",0,0,0,0
"2,319",132,0,0,"2,271",490,"23,257","1,475",0,0,0,0
"2,222",136,0,0,"2,352",490,"22,190",590,0,0,0,0
"2,182",124,0,0,"2,225",490,"21,557",236,0,0,0,0
"2,131",104,0,0,"2,288",490,"22,229",0,0,0,0,0
"2,466",149,0,0,"2,153",490,"20,960",0,0,0,0,0
"2,352",167,0,0,"2,059",490,"22,285",0,0,0,0,0
"2,346",175,0,0,"2,936",493,"23,176",0,0,0,0,0
"2,131",206,0,0,"2,590",493,"19,783",0,0,0,0,0
"2,150",166,0,0,"2,393",493,"18,361",0,0,0,0,0
"1,016",67,0,0,"1,625",493,"14,079",0,0,0,0,0
"1,215",27,0,0,"1,014",493,"17,177",0,0,0,0,0
"1,773",50,0,0,"1,200",493,"20,994",0,0,0,0,0
"3,103",179,0,0,"1,676",493,"29,175",0,0,0,0,0
"3,287",206,0,0,"2,687",493,"2,808","50,000",0,0,0,0
"2,978",195,0,0,"3,176",493,0,"20,000",0,0,0,0
"3,251",245,0,0,"3,043",493,0,"33,000",0,0,0,0
"3,167",262,0,0,"3,045",493,"1,336","13,200","149,962",0,0,0
"3,307",248,0,0,"3,625",493,"23,553","5,280","59,985",0,0,0
"3,267",259,0,0,"3,894",493,"27,252","2,112","23,994",0,0,0
"3,611",297,0,"11,135","3,666",493,"29,128","38,336","9,598",0,0,0
"3,691",295,0,"13,362","3,064",493,"27,509","15,334","3,839",0,0,0
"3,173",237,0,"13,807","2,799",493,"27,383","6,134","1,536",0,0,0
"3,822",273,0,"13,896","2,819",493,"31,015","2,453",614,0,0,0
"3,207",261,0,"10,084","2,271",503,"27,424","47,716",246,0,0,0
"1,926",178,0,"9,322","1,469",503,"18,799","19,087",0,0,0,0
"3,205",154,0,"9,169","1,871",503,"45,065","7,635",0,0,0,0
"3,077",139,0,"9,139","2,775",503,"34,001","3,054",0,0,0,0
"2,114",122,0,"9,133","2,530",503,"19,023","1,222",0,0,0,0
"3,064",127,0,"3,765","2,491",503,"28,719","39,591",0,0,0,0
"3,005",194,0,"2,692","2,696",503,"23,881","15,836",0,0,0,0
"2,982",177,0,"2,477","2,599",503,"23,881","6,334",0,0,0,0
"3,046",229,0,"2,434","2,589",503,"23,291","2,534",0,0,0,0
"3,924",324,0,0,"2,883",495,"25,845","35,991",0,0,0,0
"3,446",270,0,0,"3,164",495,"26,122","14,396",0,0,0,0
"3,279",272,0,0,"3,549",495,"24,803","5,758",0,0,0,0
"3,290",263,"29,166",0,"3,296",495,"33,992","2,303",0,0,0,0
"3,647",285,"33,300",0,"3,037",495,"14,473","33,066",0,0,0,0
"3,507",246,"49,437",0,"2,910",495,"24,974","13,227",0,0,0,0
"3,740",282,"40,186",0,"2,861",495,"26,250","5,291",0,0,"250,971",0
"3,907",316,"8,037",0,"2,498",495,"27,098","2,116",0,0,"100,388",0
"3,311",264,"1,607",0,"2,113",495,"24,290",846,0,0,"40,155",0
"3,045",208,0,0,"2,052",495,"22,795","37,166",0,0,"16,062",0
"2,660",193,0,0,"1,976",495,"20,164","14,866",0,0,"6,425",0
"2,542",195,0,0,"2,033",495,"19,579","5,946",0,0,"2,570",0
"2,649",161,0,0,"1,923",495,"21,026","2,379",0,0,"1,028",0
"2,903",137,0,0,"1,922",495,"25,567","33,739",0,0,411,0
"3,186",138,0,0,"1,636",495,"26,260","13,496",0,0,0,0
"3,074",127,0,0,"1,545",495,"26,997","5,398",0,0,0,0
"2,997",139,0,0,"1,800",495,"26,053","2,159",0,0,0,0
"2,957",145,0,0,"1,925",495,"27,149","54,910",0,0,0,0
"3,162",183,0,0,"2,699",525,"27,209","21,964",0,0,0,0
"3,036",220,0,0,"3,003",525,"24,827","8,786",0,0,0,0
"3,703",215,"70,760",0,"3,444",525,"29,309","3,514",0,0,0,0
"3,540",243,"81,746",0,"2,834",525,"28,609","1,406",0,0,0,0
"3,236",186,"73,186",0,"2,426",525,"26,328","53,722",0,0,0,0
"2,885",189,"14,637",0,"2,881",525,"23,478","21,489",0,0,0,0
"2,718",198,"2,927",0,"3,150",525,"19,582","8,596",0,0,0,0
"2,643",193,585,0,"2,644",525,"21,476","3,438",0,0,0,0
"2,684",175,117,0,"1,360",525,"11,575","34,694",0,0,0,0
"2,034",131,"37,000",0,"1,128",533,"12,177","13,878",0,0,0,0
"2,277",112,"56,702",0,"1,179",533,"12,741","5,551",0,0,0,0
"1,471",99,"11,340",0,"1,090",533,"9,941","2,220",0,0,0,0
"1,318",40,"2,268",0,936,533,"9,667",888,0,0,0,0
"1,551",16,0,0,"1,064",533,"16,910",355,0,0,0,0
"2,238",6,0,0,"2,356",533,"20,904","25,142",0,0,0,0
"2,150",3,0,0,"2,766",533,"19,976","10,057",0,0,0,0
"2,673",126,0,0,"2,652",533,"24,995","4,023",0,0,0,0
"3,002",196,0,0,"2,602",533,"22,149","26,224",0,0,0,0
"2,543",125,0,0,"2,561",533,"23,338","10,490",0,0,0,0
"2,041",50,0,0,"2,803",533,"21,057","4,196",0,0,0,0
"1,985",20,0,0,"2,655",533,"21,635","1,678",0,0,0,0
"2,594",87,"9,616",348,"3,363",533,"20,704","25,032",0,0,0,0
"3,887",272,"37,176",418,"3,892",533,"20,947","10,013",0,0,0,"170,000"
"2,926",272,"36,505",432,"3,399",533,"18,384","4,005",0,0,0,"68,000"
"2,806",232,"39,590",434,"3,517",533,"18,370","1,602",0,0,0,"27,200"
"1,423",177,"17,576",435,"2,123",533,"9,596",641,0,0,0,"10,880"
"2,136",71,"3,515",957,"1,948",533,"21,032","25,256",0,0,0,"4,352"
"2,153",28,0,"1,061","2,069",533,"16,667","10,103",0,0,0,"1,741"
"1,736",11,0,"1,082","2,026",533,"15,024","4,041",0,0,0,696
"1,598",5,0,"1,086","2,006",533,"13,742","1,616",0,0,0,279
"1,454",2,0,0,"2,077",533,"14,746","25,360",0,0,0,111
"2,482",189,0,0,"2,077",533,"15,892","10,144",0,0,0,0
"1,489",76,0,0,"1,900",533,"14,434","4,058",0,0,0,0
"2,325",179,0,0,"2,036",533,"19,208","1,623",0,0,0,0
"2,257",231,0,0,"1,187",533,"11,602","25,690",0,0,0,0
"2,731",314,0,0,"2,069",533,"18,859","10,276",0,0,0,0
"2,193",318,0,0,"2,216",533,"17,007","4,110",0,0,0,0
"2,187",370,0,0,"1,854",533,"15,851","1,644",0,0,0,0
"1,568",173,0,0,"2,097",533,"10,696",658,0,0,0,0
"1,649",69,0,0,"2,295",494,"25,323","24,933",0,0,0,0
"1,935",199,0,0,"2,408",494,"19,664","9,973",0,0,0,0
"1,753",202,0,0,"2,386",494,"21,404","3,989",0,0,0,0
"1,884",232,0,0,"2,142",494,"22,169","1,596",0,0,0,0
"1,254",93,0,0,"1,749",494,"19,505","25,240",0,0,0,0
"1,062",37,0,0,"1,452",494,"18,894","10,096",0,0,0,0
"1,270",121,0,0,"1,356",494,"16,822","4,038",0,0,0,0
"1,413",157,0,0,"1,045",494,"26,514","1,615",0,0,0,0
"1,403",141,0,"1,791",966,494,"10,957","25,131",0,0,0,0
"1,764",56,"42,723","2,149","1,003",494,"17,770","10,052",0,0,0,0
"1,892",103,"46,836","2,221",918,494,"18,027","4,021",0,0,0,0
"2,095",156,"9,367","2,235","1,016",494,"18,073","1,608",0,0,0,0
"1,878",152,"1,873","2,238","1,114",494,"14,137",643,0,0,0,0
"2,076",198,0,0,"1,251",490,"24,217","25,257",0,0,0,0
"1,673",128,0,0,"1,210",490,"17,507","10,103",0,0,0,0
"2,164",234,0,0,"1,220",490,"19,400","4,041",0,0,0,0
"2,655",345,"65,082",0,"1,335",490,"21,382","1,616",0,0,0,0
"1,728",179,"64,148",326,"1,238",490,"18,273","25,647",0,0,0,0
"2,316",213,"12,830",390,"1,341",490,"20,941","10,259",0,0,0,0
"2,389",219,"11,742",403,"1,310",490,"19,784","4,103",0,0,0,0
"2,321",215,"8,050",406,"1,239",490,"29,093","1,641",0,0,0,0
"2,272",261,"1,610",0,"1,029",512,"11,320","25,657",0,0,0,0
"1,228",130,0,0,688,512,"15,702","10,263",0,0,0,0
"1,871",153,0,0,601,512,"18,489","4,105",0,0,0,0
"1,198",61,0,0,312,512,"14,573","1,642",0,0,0,0
"1,261",24,0,0,374,512,"10,855",657,0,0,0,0
"1,349",10,0,0,461,515,"20,304",263,0,0,0,0
"2,457",135,0,0,968,515,"24,599",105,0,0,0,0
"2,288",186,0,0,"1,291",515,"23,770",0,0,0,0,0
"2,185",197,0,0,"1,588",515,"30,721",0,0,0,0,0
"2,124",223,0,0,"2,327",515,"17,797",0,0,0,0,0
"2,330",225,0,0,"2,849",515,"24,941",0,0,0,0,0
"2,126",212,0,0,"2,865",515,"25,627",0,0,0,0,0
"2,496",210,0,0,"2,765",515,"31,728",0,0,0,0,0
"2,285",217,"32,500",0,"2,224",505,"19,687",0,0,0,0,0
"1,701",87,"39,000",0,"2,827",505,"26,925",0,0,0,0,0
"2,487",213,"40,300",0,"2,713",505,"23,714",0,0,0,0,0
"2,566",251,"40,560",0,"2,994",505,"22,498",0,0,0,0,0
